holding,task,value,day,confidence_score,category,rank
,Run 2 miles,5,monday,10,health,
,Run 3 miles,5,wednesday,10,health,
,Run 2 miles,5,friday,10,health,
,HIIT 30 min,10,tuesday,8,health,
,HIIT 30 min,10,thursday,8,health,
,HIIT 30 min,10,sat/sun,8,health,
,Meditate,5,monday,5,health,
,Meditate,5,tuesday,5,health,
,Meditate,5,wednesday,5,health,
,Meditate,5,thursday,5,health,
,Meditate,5,friday,5,health,
,Meditate,5,sat/sun,5,health,
,Wake up 5am,5,monday,8,health,
,Wake up 5am,5,tuesday,8,health,
,Wake up 5am,5,wednesday,8,health,
,Wake up 5am,5,thursday,8,health,
,Wake up 5am,5,friday,8,health,
,Wake up 5am,5,sat/sun,8,health,
,Intermittent Fasting,8,monday,10,health,
,Intermittent Fasting,8,tuesday,10,health,
,Intermittent Fasting,8,wednesday,10,health,
,Intermittent Fasting,8,thursday,10,health,
,Intermittent Fasting,8,friday,10,health,
,Intermittent Fasting,8,sat/sun,10,health,
,Lemon Water / BCAA / Creatine,3,monday,5,health,
,Lemon Water / BCAA / Creatine,3,tuesday,5,health,
,Lemon Water / BCAA / Creatine,3,wednesday,5,health,
,Lemon Water / BCAA / Creatine,3,thursday,5,health,
,Lemon Water / BCAA / Creatine,3,friday,5,health,
,Lemon Water / BCAA / Creatine,3,sat/sun,5,health,
,Laundry,5,sat/sun,3,personal,
,Menu,3,tuesday,3,personal,
,Shave Head,3,sat/sun,5,personal,
,Water Plant,1,wednesday,,personal,
,Feed Sunshine AM,3,monday,5,health,3
,Feed Sunshine AM,3,tuesday,5,health,3
,Feed Sunshine AM,3,wednesday,5,health,3
,Feed Sunshine AM,3,thursday,5,health,3
,Feed Sunshine AM,3,friday,5,health,3
,Feed Sunshine AM,3,sat/sun,5,health,3
,Feed Sunshine PM,3,monday,5,health,3
,Feed Sunshine PM,3,tuesday,5,health,3
,Feed Sunshine PM,3,wednesday,5,health,3
,Feed Sunshine PM,3,thursday,5,health,3
,Feed Sunshine PM,3,friday,5,health,3
,Feed Sunshine PM,3,sat/sun,5,health,3
,Rollout,5,monday,5,health,10
,Rollout,5,tuesday,5,health,10
,Rollout,5,wednesday,5,health,10
,Rollout,5,thursday,5,health,10
,Rollout,5,friday,5,health,10
,Rollout,5,sat/sun,5,health,10
