holding,task,value,day,confidence_score,category,rank
,Lift Legs,5,monday,10,health,5
,Lift Chest,5,wednesday,10,health,5
,Lift Arms,5,friday,10,health,5
,Yoga,5,tuesday,5,health,
,Yoga,5,thursday,5,health,
,Meditate,5,monday,5,health,2
,Meditate,5,tuesday,5,health,2
,Meditate,5,wednesday,5,health,2
,Meditate,5,thursday,5,health,2
,Meditate,5,friday,5,health,2
,Meditate,5,sat/sun,5,health,2
,Wake up 5am,5,monday,8,health,1
,Wake up 5am,5,tuesday,8,health,1
,Wake up 5am,5,wednesday,8,health,1
,Wake up 5am,5,thursday,8,health,1
,Wake up 5am,5,friday,8,health,1
,Wake up 5am,5,sat/sun,8,health,1
,Intermittent Fasting,8,monday,10,health,6
,Intermittent Fasting,8,tuesday,10,health,6
,Intermittent Fasting,8,wednesday,10,health,6
,Intermittent Fasting,8,thursday,10,health,6
,Intermittent Fasting,8,friday,10,health,6
,Intermittent Fasting,8,sat/sun,10,health,6
,Lemon Water / BCAA / Creatine,3,monday,5,health,4
,Lemon Water / BCAA / Creatine,3,tuesday,5,health,4
,Lemon Water / BCAA / Creatine,3,wednesday,5,health,4
,Lemon Water / BCAA / Creatine,3,thursday,5,health,4
,Lemon Water / BCAA / Creatine,3,friday,5,health,4
,Lemon Water / BCAA / Creatine,3,sat/sun,5,health,4
,Laundry,5,sat/sun,3,personal,
,Menu,3,tuesday,3,personal,
,Groceries,3,tuesday,3,personal,
,Trash,3,wednesday,,personal,
,170g of Protien,8,monday,10,health,7
,170g of Protien,8,tuesday,10,health,7
,170g of Protien,8,wednesday,10,health,7
,170g of Protien,8,thursday,10,health,7
,170g of Protien,8,friday,10,health,7
,170g of Protien,8,sat/sun,10,health,7
,Rollout,5,monday,2,health,20
,Rollout,5,wednesday,2,health,20
,Rollout,5,friday,2,health,20
,Rollout,5,sat/sun,2,health,20
