group,date,value
Rest of the world,2002,88558206
Rest of the world,2003,83540588
Rest of the world,2004,82110272
Rest of the world,2005,96446977
Rest of the world,2006,99597884
Rest of the world,2007,100411671
Rest of the world,2008,97578069
Rest of the world,2009,87209758
Rest of the world,2010,90353716
Rest of the world,2011,87494225
Rest of the world,2012,78403307
Rest of the world,2013,60990882
Rest of the world,2014,65037841
Rest of the world,2015,66504137
Mexico,2002,1148836167
Mexico,2003,1195852817
Mexico,2004,1240508053
Mexico,2005,1374412804
Mexico,2006,1631887282
Mexico,2007,1620666247
Mexico,2008,1585430382
Mexico,2009,1521317909
Mexico,2010,1578205773
Mexico,2011,1668121485
Mexico,2012,1780838195
Mexico,2013,1861629388
Mexico,2014,2152870946
Mexico,2015,2271799863
Netherlands,2002,686581858
Netherlands,2003,694147130
Netherlands,2004,698363141
Netherlands,2005,704236235
Netherlands,2006,828601218
Netherlands,2007,789142240
Netherlands,2008,767479362
Netherlands,2009,662921254
Netherlands,2010,652054991
Netherlands,2011,600947493
Netherlands,2012,612335989
Netherlands,2013,568978539
Netherlands,2014,542067060
Netherlands,2015,570892012
Belgium,2002,16284782
Belgium,2003,22538407
Belgium,2004,31451099
Belgium,2005,48837518
Belgium,2006,72199111
Belgium,2007,111914367
Belgium,2008,122512008
Belgium,2009,100543918
Belgium,2010,129350786
Belgium,2011,163771112
Belgium,2012,180930179
Belgium,2013,179862067
Belgium,2014,224332138
Belgium,2015,271021757
