countryname,size1960,size1961,size1962,size1963,size1964,size1965,size1966,size1967,size1968,size1969,size1970,size1971,size1972,size1973,size1974,size1975,size1976,size1977,size1978,size1979,size1980,size1981,size1982,size1983,size1984,size1985,size1986,size1987,size1988,size1989,size1990,size1991,size1992,size1993,size1994,size1995,size1996,size1997,size1998,size1999,size2000,size2001,size2002,size2003,size2004,size2005,size2006,size2007,size2008,size2009,size2010,size2011,size2012,size2013,size2014,size2015,size2016,change1960,change1961,change1962,change1963,change1964,change1965,change1966,change1967,change1968,change1969,change1970,change1971,change1972,change1973,change1974,change1975,change1976,change1977,change1978,change1979,change1980,change1981,change1982,change1983,change1984,change1985,change1986,change1987,change1988,change1989,change1990,change1991,change1992,change1993,change1994,change1995,change1996,change1997,change1998,change1999,change2000,change2001,change2002,change2003,change2004,change2005,change2006,change2007,change2008,change2009,change2010,change2011,change2012,change2013,change2014,change2015,change2016
"""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+09,1.32E+09,1.38E+09,1.53E+09,1.67E+09,1.72E+09,1.87E+09,1.92E+09,1.94E+09,2.02E+09,2.23E+09,2.33E+09,2.42E+09,2.62E+09,2.79E+09,2.50E+09,2.47E+09,2.58E+09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,0,0,0,0,0,0,0
Afghanistan,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1.01E+09,1.40E+09,1.67E+09,1.37E+09,1.41E+09,1.75E+09,1.83E+09,1.60E+09,1.73E+09,2.16E+09,2.37E+09,2.56E+09,2.95E+09,3.30E+09,3.70E+09,3.64E+09,3.48E+09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+09,4.13E+09,4.58E+09,5.29E+09,6.28E+09,7.06E+09,9.84E+09,1.02E+10,1.25E+10,1.59E+10,1.79E+10,2.05E+10,2.00E+10,2.01E+10,1.97E+10,1.95E+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122893,1.312530908,1.112557519,2.232271773
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.68E+09,6.68E+09,6.68E+09,6.68E+09,1.00E+10,1.00E+10,1.21E+10,5.68E+09,5.28E+09,4.06E+09,5.04E+09,7.53E+09,7.65E+09,6.45E+09,6.15E+09,9.13E+09,8.94E+09,1.25E+10,1.42E+10,1.96E+10,2.82E+10,4.18E+10,6.04E+10,8.42E+10,7.55E+10,8.25E+10,1.04E+11,1.15E+11,1.25E+11,1.27E+11,1.03E+11,8.96E+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.800000008,7.900000004,5.599999981,0.400000019,-0.300000019,-1.199999989,-6.900000002,-24.69999999,3.499999989,10.40000002,11.19999997,7.90000001,6.804762116,3.239799671,3.012076171,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,3.006980545,0
Albania,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.92E+09,1.97E+09,2.17E+09,2.16E+09,2.13E+09,2.34E+09,2.10E+09,1.14E+09,7.09E+08,1.23E+09,1.99E+09,2.42E+09,3.31E+09,2.36E+09,2.71E+09,3.41E+09,3.63E+09,4.06E+09,4.44E+09,5.75E+09,7.31E+09,8.16E+09,8.99E+09,1.07E+10,1.29E+10,1.20E+10,1.19E+10,1.29E+10,1.23E+10,1.28E+10,1.32E+10,1.14E+10,1.19E+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-29.5889977,-7.199999986,9.600000045,8.29999998,13.29999999,9.100000008,-10.83785574,9.00885254,13.50117338,6.666620499,7.940331425,4.231371018,5.773490561,5.709556596,5.720819947,5.431012739,5.9,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.590000005,3.459999994
Andorra,0,0,0,0,0,0,0,0,0,0,78619206.09,89409820.36,1.13E+08,1.51E+08,1.87E+08,2.20E+08,2.27E+08,2.54E+08,3.08E+08,4.12E+08,4.46E+08,3.89E+08,3.76E+08,3.28E+08,3.30E+08,3.47E+08,4.82E+08,6.11E+08,7.21E+08,7.95E+08,1.03E+09,1.11E+09,1.21E+09,1.01E+09,1.02E+09,1.18E+09,1.22E+09,1.18E+09,1.21E+09,1.24E+09,1.40E+09,1.48E+09,1.72E+09,2.37E+09,2.92E+09,3.25E+09,3.54E+09,4.01E+09,4.00E+09,3.65E+09,3.35E+09,3.43E+09,3.15E+09,3.25E+09,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,3.194790296,4.099080837,1.165787079,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.49E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.52685649,21.43933016,-1.5896033,20.92357308,23.87477489,4.65917667,-6.719316188,-4.745820694,4.016951286,-3.594476527,-14.95813655,3.381981714,-2.61890772,12.3378913,18.32798551,0.860081945,3.344944873,1.261190952,6.896148545,6.687886471,5.798404051,8.190398652,0.291994344,2.90221365,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836271,-5.242921906,1.635449055,6.358920202,5.104679427,5.789906075,3.284926134,3.82886705,3.036459799
Argentina,0,0,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.04E+11,79092001998,88416668900,1.11E+11,1.11E+11,1.26E+11,76636898036,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.85E+11,5.46E+11,0,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,4.151762342,-5.689528,-4.957178519,3.875123424,2.211773504,-7.586677184,7.87577983,2.909993131,-2.556904877,-7.496189584,-2.398959219,12.66971009,11.94077473,5.906919492,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.647271415,-2.298175991
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10529182498,10547331235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.300000002,3.600000001,2.999999997,0.199999998
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,639000000,638000000,641000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-3.215926493,1.424050633,1.092043682,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77496740.74,87879333.33,109079963,131431037,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,825405518.5,795976518.5,809754481.5,850218592.6,913710370.4,1014979667,1149025481,1302388926,1359733556,1217719667,1147942222,1141865444,1216045778,1195885111,1274330333,1355645889,1449160185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.383621181,8.079742374,8.161435314,3.814916847,-0.08400885,5.364009643,10.16500109,7.643790495,11.49382819,6.626370731,5.213268558,5.252278102,3.011645772,2.176873116,1.158326269,5.280071488,6.676195163,-4.35949399,6.604818088,5.471131932,4.731313712,3.707894618,6.084634973,-5.196166358,1.087719703,6.110539449,5.811431058,6.287283752,12.80496079,9.289614439,0.047676393,-12.03555504,-7.041724676,-1.763273019,3.837469787,-0.200091657,4.602793308,4.126997099,4.375678654
Australia,18593347519,19666256020,19911524247,21527606675,23787658192,25962593795,27288610147,30421099787,32687870982,36659200358,41304737373,45183111211,52003504673,63782190903,88906411201,97226546497,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.94E+11,1.80E+11,1.82E+11,1.89E+11,2.36E+11,3.00E+11,3.11E+11,3.26E+11,3.26E+11,3.12E+11,3.23E+11,3.68E+11,4.02E+11,4.36E+11,4.00E+11,3.89E+11,4.15E+11,3.79E+11,3.95E+11,4.67E+11,6.13E+11,6.94E+11,7.48E+11,8.54E+11,1.06E+12,9.27E+11,1.14E+12,1.39E+12,1.54E+12,1.57E+12,1.46E+12,1.35E+12,1.20E+12,0,2.474965167,1.326664891,6.212971319,6.975489924,5.978493584,2.364606176,6.297786464,5.091587486,7.050657366,7.167345418,4.003308355,3.911781915,2.599312825,4.096768774,1.332862793,2.590951948,3.607674459,0.898233501,4.055964549,3.052416853,3.356420999,3.319422013,-2.230960236,4.630766129,5.249350487,4.100203645,2.578442474,5.776851984,3.880819843,3.530801438,-0.375332994,0.436463912,4.0619942,4.051610741,3.88933225,3.948807277,3.947615227,4.44013975,5.006807026,3.867868797,1.930054261,3.852927051,3.068304851,4.145671395,3.203548132,2.978054386,3.74972737,3.698140685,1.811957199,2.005879701,2.3728207,3.634249616,2.569856088,2.60945748,2.421610556,2.765773499
