key,site,name,date,value_1952,value_1953,value_1954,value_1955,value_1956,value_1957,value_1958,value_1959,value_1960,value_1961,value_1962,value_1963,value_1964,value_1965,value_1966,value_1967,value_1968,value_1969,value_1970,value_1971,value_1972,value_1973,value_1974,value_1975,value_1976,value_1977,value_1978,value_1979,value_1980,value_1981,value_1982,value_1983,value_1984,value_1985,value_1986,value_1987,value_1988,value_1989,value_1990,value_199x,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
colorado,9163500,m-01,1952-01-01,0,0,26.3,37.4,49.1,84.7,62.3,41.5,54,63.2,79.5,42.1,54.7,83,40.8,80.1,66.9,66.3,89.1,86.9,60.5,77.3,70,61.3,42.2,34.5,87.4,74.3,64.9,30.5,58.1,109.1,106.3,69.5,91.4,42.5,56.2,35.5,47.3,50.3,1000,70.7,50.6,98.1,84.5,104.3,57.9,64.9,60.8,44.7,26.4,82.1,40.8,67.6,48.7,39.4,66.3,74.6,69.7,178.7,34.7,52.9,114.1,98.1,65,79.4,53.1
colorado,9163500,m-02,1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.2,494.9,726.2,266.8,363.8,158.9,165.8,122.3,125.3,156.4,133.6,262.6,167.4,330.8,473.3,526,252.7,291.5,257.6,114,96.7,153.8,124.5,151.7,151.3,146,237.7,253.2,249.3,879.8,114.8,124.1,423.3,572.6,299.1,269.2,159.3
colorado,9163500,m-03,1955-01-01,0,0,0,0,0,0,0,0,0,0,0,1671,700.5,567.7,916.7,775.5,677.3,772.5,914.5,1367,959.5,1208,1336,948.4,796,633,832.4,1061,1085,579.5,765.2,1805,2378,1389,1487,869.2,901.9,675.9,649.3,747.5,691.8,1043,782.6,1237,1582,1725,996.5,1063,1012,657.3,522.8,596.9,541.3,677.1,856.9,915.6,1271,1263,998.8,2340,619.4,597.5,1644,1535,1175,1103,774.5
colorado,9163500,m-04,1956-01-01,3056,2038,1147,1340,1961,3167,2216,1675,1953,1453,3201,1388,1321,2188,1487,1484,1735,1846,2638,2625,1916,2430,2519,2177,1723,1117,1983,2320,2180,1203,1891,3258,4173,2873,2938,1760,1742,1462,1305,1613,1422,2330,1407,2648,2920,3242,2009,2119,1862,1393,898.1,1407,1160,1635,1913,1770,2605,2484,1932,3942,1242,1314,2944,2557,2097,2019,0
colorado,9163500,m-05,1957-01-01,9431,5211,0,0,0,0,0,0,0,0,0,0,0,0,0,2658,2977,3090,4066,4200,3192,4004,3785,3435,2724,1638,3304,3956,3758,2025,3294,4969,6276,4820,4797,3072,2722,2364,2153,2751,2345,3970,2552,4467,4255,4908,3518,3427,2907,2294,1523,2320,2030,2875,3129,2913,4084,3936,3201,5631,2040,2186,4326,3910,3336,3297,0
colorado,9163500,m-06,1958-01-01,5689,3554,2144,2730,3328,5819,4009,3022,3391,2606,5526,2416,2621,4353,2702,2917,3324,3558,4525,4644,3523,4483,4043,3995,3131,1937,3550,4262,4188,2142,3602,6076,7605,5945,5740,3586,2967,2568,2269,3003,2571,4667,2860,5321,4772,5738,4229,3821,3212,2679,1751,2652,2266,3544,3628,3223,4800,4457,3546,6471,2273,2318,4701,4226,3642,3483,0
colorado,9163500,m-07,1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
colorado,9163500,m-08,1988-01-01,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
gunnison,9163500,m-01,1952-01-01,68,308,214,66,99,137,218,301,410,203,136,218,198,314,186,188,166,122,237,109,277,287,76,447,55,121,128,422,159,128,289,329,324,218,106,374,279,429,384,229,369,352,301,413,264,111,174,459,73,371,269,431,458,58,148,55,398,396,402,252,166,147,362,469,225,87,496
gunnison,9163500,m-02,1954-01-01,104,485,225,61,378,341,56,135,148,381,382,272,363,288,97,131,427,176,60,449,108,97,381,395,108,370,244,74,95,221,200,284,59,186,475,126,457,422,250,428,184,459,451,70,283,446,305,224,346,61,362,275,373,417,185,351,450,162,333,227,64,170,484,104,142,117,52
gunnison,9163500,m-03,1955-01-01,148,86,553,63,332,95,566,445,476,192,275,524,208,354,440,392,577,108,232,430,245,383,415,86,150,454,178,276,254,122,555,556,148,548,429,94,430,217,492,550,550,148,469,457,118,421,57,173,373,86,336,396,574,92,138,522,154,310,65,448,486,386,485,543,382,350,323
gunnison,9163500,m-04,1956-01-01,3056,2038,1147,1340,1961,3167,2216,1675,1953,1453,3201,1388,1321,2188,1487,1484,1735,1846,2638,2625,1916,2430,2519,2177,1723,1117,1983,2320,2180,1203,1891,3258,4173,2873,2938,1760,1742,1462,1305,1613,1407,2330,1407,2648,1422,3242,2009,2119,3242,1393,898.1,2119,1770,1635,1913,1770,2605,2484,2097,3942,1770,1314,2944,898.1,2097,2019,1770
gunnison,9163500,m-05,1957-01-01,9431,5211,0,0,0,0,0,0,0,0,0,0,0,0,0,2658,2977,3090,4066,4200,3192,4004,3785,3435,2724,1638,3304,3956,3758,2025,3294,4969,6276,4820,4797,3072,2722,2364,2153,2751,2552,3970,2552,4467,2345,4908,3518,3427,4908,2294,1523,3427,2913,2875,3129,2913,4084,3936,3336,5631,2913,2186,4326,1523,3336,3297,2913
gunnison,9163500,m-06,1958-01-01,5689,3554,2144,2730,3328,5819,4009,3022,3391,2606,5526,2416,2621,4353,2702,2917,3324,3558,4525,4644,3523,4483,4043,3995,3131,1937,3550,4262,4188,2142,3602,6076,7605,5945,5740,3586,2967,2568,2269,3003,2860,4667,2860,5321,2571,5738,4229,3821,5738,2679,1751,3821,3223,3544,3628,3223,4800,4457,3642,6471,3223,2318,4701,1751,3642,3483,3223
gunnison,9163500,m-07,1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1999,4260,1999,4664,1764,5114,3678,3056,5114,1776,938.2,3056,2454,2985,3000,2454,4225,3701,2948,5918,2454,1500,3881,938.2,2948,2729,2454
gunnison,9163500,m-08,1988-01-01,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4631,8491,4631,9778,4583,9826,7387,6018,9826,3866,2417,6018,5216,6214,5474,5216,8425,6857,6020,9510,5216,3331,7024,2417,6020,6154,5216
eagle,9163500,m-01,1952-01-01,308,146,134,314,339,121,387,146,189,408,411,433,383,471,431,95,117,353,314,456,61,483,103,92,122,460,66,435,491,104,241,294,364,484,295,111,480,179,61,262,435,360,420,429,422,192,451,199,491,337,160,441,153,116,376,212,384,334,71,412,133,321,312,181,272,267,270
eagle,9163500,m-02,1954-01-01,424,106,390,315,134,222,408,343,241,424,468,424,347,329,303,192,104,200,353,154,113,254,398,359,392,273,324,385,140,157,129,451,448,362,212,214,60,435,404,54,243,412,58,280,242,346,298,414,233,102,386,69,171,162,257,178,327,305,162,422,95,427,106,287,454,78,281
eagle,9163500,m-03,1955-01-01,197,163,73,134,166,350,73,395,148,117,493,148,296,237,169,454,387,248,468,68,192,308,247,329,58,269,496,190,120,85,269,88,173,65,102,361,369,444,286,402,200,198,249,104,210,399,171,73,348,167,289,459,298,495,274,85,158,63,248,296,266,318,430,169,408,126,107
eagle,9163500,m-04,1956-01-01,147,84,209,174,216,279,102,165,389,282,100,460,388,259,402,180,430,119,283,89,335,112,314,65,153,66,128,152,104,219,211,432,415,405,161,106,296,293,166,375,145,414,340,290,426,161,296,389,393,248,66,223,243,448,261,236,344,123,193,491,446,304,198,467,175,473,75
eagle,9163500,m-05,1957-01-01,485,268,424,470,236,472,401,282,207,376,107,313,76,312,326,79,150,116,465,402,422,477,223,59,470,360,83,140,307,458,451,383,116,349,297,483,144,110,242,411,342,406,70,149,115,165,423,312,203,115,67,85,370,191,213,375,266,445,383,298,426,367,203,168,358,366,398
eagle,9163500,m-06,1958-01-01,132,327,353,240,89,245,435,414,130,284,124,333,452,435,150,234,466,357,196,489,52,255,415,341,206,113,442,120,127,287,359,82,179,487,198,53,414,349,481,288,252,433,179,418,477,240,344,377,321,166,132,499,72,164,323,298,185,120,134,396,106,164,125,486,265,377,470
eagle,9163500,m-07,1959-01-01,305,393,258,133,348,193,136,376,146,126,325,401,272,58,417,214,300,87,317,463,418,139,319,481,60,239,107,340,359,488,100,404,97,349,190,129,267,156,499,148,142,54,277,345,484,197,181,337,335,364,134,371,291,70,262,78,264,182,84,235,413,71,467,344,433,389,331
eagle,9163500,m-08,1988-01-01,198,142,288,403,217,289,330,479,269,354,155,184,164,278,150,191,177,92,415,328,76,499,355,446,500,227,320,220,108,232,455,138,132,492,144,415,141,197,476,443,220,57,124,141,275,226,153,238,73,249,382,99,126,164,164,265,241,113,356,292,59,345,99,341,384,160,413
