key,site,name,date,value_1952,value_1953,value_1954,value_1955,value_1956,value_1957,value_1958,value_1959,value_1960,value_1961,value_1962,value_1963,value_1964,value_1965,value_1966,value_1967,value_1968,value_1969,value_1970,value_1971,value_1972,value_1973,value_1974,value_1975,value_1976,value_1977,value_1978,value_1979,value_1980,value_1981,value_1982,value_1983,value_1984,value_1985,value_1986,value_1987,value_1988,value_1989,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
colorado,9163500,m-01,1952-01-01,0,0,26.3,37.4,49.1,84.7,62.3,41.5,54,63.2,79.5,42.1,54.7,83,40.8,80.1,66.9,66.3,89.1,86.9,60.5,77.3,70,61.3,42.2,34.5,87.4,74.3,64.9,30.5,58.1,109.1,106.3,69.5,91.4,42.5,56.2,35.5,47.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
colorado,9163500,m-02,1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.2,494.9,726.2,266.8,363.8,158.9,165.8,122.3,125.3,156.4,133.6,133.6,133.6,133.6,156.4,156.4,133.6,133.6,257.6,114,96.7,153.8,124.5,151.7,151.3,146,237.7,253.2,249.3,879.8,114.8,124.1,423.3,572.6,299.1,269.2,159.3
colorado,9163500,m-03,1955-01-01,0,0,0,0,0,0,0,0,0,0,0,1671,700.5,567.7,916.7,775.5,677.3,772.5,914.5,1367,959.5,1208,1336,948.4,796,633,832.4,1061,1085,579.5,765.2,1805,2378,1389,1487,869.2,901.9,675.9,649.3,747.5,691.8,675.9,691.8,691.8,747.5,747.5,691.8,691.8,1012,657.3,522.8,596.9,541.3,677.1,856.9,915.6,1271,1263,998.8,2340,619.4,597.5,1644,1535,1175,1103,774.5
colorado,9163500,m-04,1956-01-01,3056,2038,1147,1340,1961,3167,2216,1675,1953,1453,3201,1388,1321,2188,1487,1484,1735,1846,2638,2625,1916,2430,2519,2177,1723,1117,1983,2320,2180,1203,1891,3258,4173,2873,2938,1760,1742,1462,1305,1613,1422,1462,1422,1422,1613,1613,1422,1422,1862,1393,898.1,1407,1160,1635,1913,1770,2605,2484,1932,3942,1242,1314,2944,2557,2097,2019,0
colorado,9163500,m-05,1957-01-01,9431,5211,0,0,0,0,0,0,0,0,0,0,0,0,0,2658,2977,3090,4066,4200,3192,4004,3785,3435,2724,1638,3304,3956,3758,2025,3294,4969,6276,4820,4797,3072,2722,2364,2153,2751,2345,2364,2345,2345,2751,2751,2345,2345,2907,2294,1523,2320,2030,2875,3129,2913,4084,3936,3201,5631,2040,2186,4326,3910,3336,3297,0
colorado,9163500,m-06,1958-01-01,5689,3554,2144,2730,3328,5819,4009,3022,3391,2606,5526,2416,2621,4353,2702,2917,3324,3558,4525,4644,3523,4483,4043,3995,3131,1937,3550,4262,4188,2142,3602,6076,7605,5945,5740,3586,2967,2568,2269,3003,2571,2568,2571,2571,3003,3003,2571,2571,3212,2679,1751,2652,2266,3544,3628,3223,4800,4457,3546,6471,2273,2318,4701,4226,3642,3483,0
colorado,9163500,m-07,1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,1764,1764,1764,2146,2146,1764,1764,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
colorado,9163500,m-08,1988-01-01,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
gunnison,9163500,m-01,1952-01-01,237,137,153,268,84,59,170,52,307,482,444,487,317,299,358,475,258,470,231,451,356,429,389,272,411,380,118,342,436,170,444,395,216,480,270,214,62,297,113,50.3,1000,2000,2000,2000,50.3,50.3,2000,2000,236,328,299,497,133,442,65,395,124,73,369,283,448,67,498,356,300,78,448
gunnison,9163500,m-02,1954-01-01,445,468,282,240,206,279,394,379,160,499,404,330,93,121,305,180,360,104,99,314,112,486,485,244,360,53,402,138,469,150,210,229,65,244,54,328,141,496,342,156.4,133.6,133.6,133.6,133.6,156.4,156.4,133.6,133.6,404,122,262,223,298,500,225,192,270,194,174,478,336,192,451,169,426,56,236
