key,site,name,date,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
colorado,9163500,m-01,1952-01-01,50.3,43.8,70.7,50.6,98.1,84.5,104.3,57.9,64.9,60.8,44.7,26.4,82.1,40.8,67.6,48.7,39.4,66.3,74.6,69.7,178.7,34.7,52.9,114.1,98.1,65,79.4
colorado,9163500,m-02,1954-01-01,156.4,133.6,262.6,167.4,330.8,473.3,526,252.7,291.5,257.6,114,96.7,153.8,124.5,151.7,151.3,146,237.7,253.2,249.3,879.8,114.8,124.1,423.3,572.6,299.1,269.2
colorado,9163500,m-03,1956-01-01,747.5,691.8,1043,782.6,1237,1582,1725,996.5,1063,1012,657.3,522.8,596.9,541.3,677.1,856.9,915.6,1271,1263,998.8,2340,619.4,597.5,1644,1535,1175,1103
colorado,9163500,m-04,1958-01-01,1613,1422,2330,1407,2648,2920,3242,2009,2119,1862,1393,898.1,1407,1160,1635,1913,1770,2605,2484,1932,3942,1242,1314,2944,2557,2097,2019
colorado,9163500,m-05,1960-01-01,3003,2571,4667,2860,5321,4772,5738,4229,3821,3212,2679,1751,2652,2266,3544,3628,3223,4800,4457,3546,6471,2273,2318,4701,4226,3642,3483
colorado,9163500,m-06,1962-01-01,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729
colorado,9163500,m-07,1964-01-01,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154
colorado,9163500,m-08,1966-01-01,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154
colorado,9163500,m-09,1968-01-01,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154
colorado,9163500,m-08,1970-01-01,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
gunnision,9163500,m-01,1952-01-01,80,63,55,83,85,79,88,96,53,94,99,90,56,80,56,71,93,75,93,60,98,69,66,72,51,87,57
gunnision,9163500,m-02,1954-01-01,112,184,212,155,292,150,289,134,248,109,269,232,206,181,233,278,179,207,164,145,248,180,183,156,110,256,194
gunnision,9163500,m-03,1956-01-01,1067,870,1025,1029,1054,1183,1181,983,848,1184,1043,1155,1193,967,1072,1112,902,871,888,916,1083,1095,938,975,1045,828,1108
gunnision,9163500,m-04,1958-01-01,2590,3159,1887,2085,2700,3231,3376,1544,2387,2407,1984,2657,2635,1520,2280,2683,2493,1879,1608,1837,2569,1522,3379,2401,3372,2898,3166
gunnision,9163500,m-05,1960-01-01,3003,2571,4667,2860,5321,4772,5738,4229,3821,3212,2679,1751,2652,2266,3544,3628,3223,4800,4457,3546,6471,2273,2318,4701,4226,3642,3483
gunnision,9163500,m-06,1962-01-01,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729
gunnision,9163500,m-07,1964-01-01,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154
gunnision,9163500,m-08,1966-01-01,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154
gunnision,9163500,m-09,1968-01-01,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154
gunnision,9163500,m-08,1970-01-01,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
