key,site,name,date,spacer,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
eagle,9128000,Colorado,1952-01-01,33590,600,50.3,43.8,70.7,50.6,98.1,84.5,104.3,57.9,64.9,60.8,44.7,26.4,82.1,40.8,67.6,48.7,39.4,66.3,74.6,69.7,178.7,34.7,52.9,114.1,98.1,65,79.4
eagle,9144250,Colorado,1953-01-01,5500,0,975.2,917.5,1574,897.8,2130,1469,1965,1251,1025,1067,654.9,535.5,401,401.6,749.8,755.5,882.4,1766,1178,729.1,1260,684.3,406,1019,979.7,997,1284
eagle,9152500,Colorado,1954-01-01,600,0,1391,1421,2743,1377,3437,2167,3005,2300,1555,1484,1047,707.6,819.4,791.3,1721,1444,1476,2696,1959,1294,2213,992.1,726.7,1643,1661,1650,2057
eagle,9128002,Colorado,1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9144250,Colorado,1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128004,Colorado,1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128005,Colorado,1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128006,Colorado,1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128007,Colorado,1960-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128008,Colorado,1961-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128009,Colorado,1962-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128010,Colorado,1963-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128011,Colorado,1964-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128012,Colorado,1965-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128013,Colorado,1966-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128014,Colorado,1967-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128015,Colorado,1968-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eagle,9128016,Colorado,1969-01-01,0,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010
colorado,9010500,Colorado,1952-01-01,44330,1900,50.3,43.8,70.7,50.6,98.1,84.5,104.3,57.9,64.9,60.8,44.7,26.4,82.1,40.8,67.6,48.7,39.4,66.3,74.6,69.7,178.7,34.7,52.9,114.1,98.1,65,79.4
colorado,9058000,Colorado,1953-01-01,63300,0,156.4,133.6,262.6,167.4,330.8,473.3,526,252.7,291.5,257.6,114,96.7,153.8,124.5,151.7,151.3,146,237.7,253.2,249.3,879.8,114.8,124.1,423.3,572.6,299.1,269.2
colorado,9070500,Colorado,1954-01-01,5454,0,747.5,691.8,1043,782.6,1237,1582,1725,996.5,1063,1012,657.3,522.8,596.9,541.3,677.1,856.9,915.6,1271,1263,998.8,2340,619.4,597.5,1644,1535,1175,1103
colorado,9085100,Colorado,1955-01-01,2332,0,1613,1422,2330,1407,2648,2920,3242,2009,2119,1862,1393,898.1,1407,1160,1635,1913,1770,2605,2484,1932,3942,1242,1314,2944,2557,2097,2019
