key,date,value,no
9163500,1952-01-01,9431,10431
9163500,1953-01-01,5211,6211
9163500,1954-01-01,2881,3881
9163500,1955-01-01,4009,5009
9163500,1956-01-01,4607,5607
9163500,1957-01-01,10390,11390
9163500,1958-01-01,7492,8492
9163500,1959-01-01,4110,5110
9163500,1960-01-01,5164,6164
9163500,1961-01-01,3812,4812
9163500,1962-01-01,8558,7558
9163500,1963-01-01,3571,2571
9163500,1964-01-01,4287,3287
9163500,1965-01-01,7893,6893
9163500,1966-01-01,4087,3087
9163500,1967-01-01,3952,2952
9163500,1968-01-01,5128,4128
9163500,1969-01-01,5978,4978
9163500,1970-01-01,7580,6580
9163500,1971-01-01,7424,6424
9163500,1972-01-01,4760,3760
9163500,1973-01-01,7451,6451
9163500,1974-01-01,6004,5004
9163500,1975-01-01,6551,5551
9163500,1976-01-01,4594,3594
9163500,1977-01-01,2559,1559
9163500,1978-01-01,5338,4338
9163500,1979-01-01,7817,6817
9163500,1980-01-01,7214,6214
9163500,1981-01-01,3723,2723
9163500,1982-01-01,6248,5248
9163500,1983-01-01,11100,10100
9163500,1984-01-01,13470,12470
9163500,1985-01-01,10690,9690
9163500,1986-01-01,10380,9380
9163500,1987-01-01,7190,6190
9163500,1988-01-01,4835,3835
9163500,1989-01-01,3885,2885
9163500,1990-01-01,3096,2096
9163500,1991-01-01,4845,3845
9163500,1992-01-01,4583,3583
9163500,1993-01-01,8491,7491
9163500,1994-01-01,4631,3631
9163500,1995-01-01,9778,8778
9163500,1996-01-01,7658,6658
9163500,1997-01-01,9826,8826
9163500,1998-01-01,7387,6387
9163500,1999-01-01,6018,5018
9163500,2000-01-01,4820,3820
9163500,2001-01-01,3866,2866
9163500,2002-01-01,2417,1417
9163500,2003-01-01,3638,2638
9163500,2004-01-01,3349,1000
9163500,2005-01-01,6214,300
9163500,2006-01-01,5474,4000
9163500,2007-01-01,5216,1500
9163500,2008-01-01,8425,4000
9163500,2009-01-01,6857,5857
9163500,2010-01-01,5097,4097
9163500,2011-01-01,9510,8510
9163500,2012-01-01,3330,2330
9163500,2013-01-01,3331,2331
9163500,2014-01-01,7024,6024
9163500,2015-01-01,6499,5499
9163500,2016-01-01,6020,5020
9163500,2017-01-01,6154,5154
9163500,2018-01-01,3484,5154
9106150,1952-01-01,0,0
9106150,1953-01-01,0,0
9106150,1954-01-01,0,0
9106150,1955-01-01,0,0
9106150,1956-01-01,0,0
9106150,1957-01-01,0,0
9106150,1958-01-01,0,0
9106150,1959-01-01,0,0
9106150,1960-01-01,0,0
9106150,1961-01-01,0,0
9106150,1962-01-01,0,0
9106150,1963-01-01,0,0
9106150,1964-01-01,0,0
9106150,1965-01-01,0,0
9106150,1966-01-01,0,0
9106150,1967-01-01,0,0
9106150,1968-01-01,0,0
9106150,1969-01-01,0,0
9106150,1970-01-01,0,0
9106150,1971-01-01,0,0
9106150,1972-01-01,0,0
9106150,1973-01-01,0,0
9106150,1974-01-01,0,0
9106150,1975-01-01,0,0
9106150,1976-01-01,0,0
9106150,1977-01-01,0,0
9106150,1978-01-01,0,0
9106150,1979-01-01,0,0
9106150,1980-01-01,0,0
9106150,1981-01-01,0,0
9106150,1982-01-01,0,0
9106150,1983-01-01,0,0
9106150,1984-01-01,0,0
9106150,1985-01-01,0,0
9106150,1986-01-01,0,0
9106150,1987-01-01,0,0
9106150,1988-01-01,0,0
9106150,1989-01-01,0,0
9106150,1990-01-01,0,0
9106150,1991-01-01,2146,3845
9106150,1992-01-01,1764,3583
9106150,1993-01-01,4260,7491
9106150,1994-01-01,1999,3631
9106150,1995-01-01,4664,8778
9106150,1996-01-01,4032,6658
9106150,1997-01-01,5114,8826
9106150,1998-01-01,3678,6387
9106150,1999-01-01,3056,5018
9106150,2000-01-01,2474,3820
9106150,2001-01-01,1776,2866
9106150,2002-01-01,938.2,1417
9106150,2003-01-01,1966,2638
9106150,2004-01-01,1482,1000
9106150,2005-01-01,2985,300
9106150,2006-01-01,3000,4000
9106150,2007-01-01,2454,1500
9106150,2008-01-01,4225,4000
9106150,2009-01-01,3701,5857
9106150,2010-01-01,2758,4097
9106150,2011-01-01,5918,8510
9106150,2012-01-01,1392,2330
9106150,2013-01-01,1500,2331
9106150,2014-01-01,3881,6024
9106150,2015-01-01,3430,5499
9106150,2016-01-01,2948,5020
9106150,2017-01-01,2729,5154
9106150,2018-01-01,1502,5154
