health,vacation,personal,gear_lift,snowmass,fcfs,one_dataset,board,career_development
26,0,87,0,4,100,0,0,0
65,0,191,0,16,220,0,0,0
31,100,109,0,4,154,0,0,0
70,0,130,0,14,228,0,0,0
41,0,305,0,36,174,0,13,0
105,0,256,0,42,162,0,3,0
163,0,287,0,26,141,0,7,0
251,0,303,0,101,180,0,8,0
171,0,246,0,26,201,0,17,0
260,0,262,0,13,191,0,14,0
135,0,156,0,30,230,0,5,0
138,50,179,0,0,133,0,2,0
77,0,196,0,6,277,0,39,0
79,0,170,0,25,154,0,6,0
34,100,288,0,17,112,0,38,0
56,0,282,0,0,225,0,29,0
85,0,227,0,18,169,0,13,0
120,0,188,0,4,168,0,21,0
103,0,242,0,53,97,0,38,0
55,0,134,28,85,88,0,46,0
88,0,245,146,102,0,0,52,0
73,0,216,172,40,0,0,31,0
82,140,245,16,10,0,0,40,0
201,80,208,29,11,0,0,16,0
175,0,300,193,23,0,0,135,0
142,50,174,126,5,0,0,82,0
58,100,135,192,16,0,0,0,0
107,60,140,326,25,0,0,25,0
86,0,246,240,41,0,0,23,0
164,0,386,219,54,0,0,5,0
192,40,363,391,15,0,0,19,0
202,0,248,212,16,0,0,0,0
271,0,155,148,17,0,0,0,0
438,0,148,326,24,0,0,0,0
349,40,80,410,5,0,0,0,0
315,50,185,170,18,0,16,0,125
271,0,251,27,6,10,23,0,103
