key,value,date
health,0,1/14/18
health,35,1/21/18
health,40,1/28/18
health,43,2/4/18
health,25,2/11/18
health,15,2/18/18
health,59,2/25/18
health,28,3/4/18
health,30,3/11/18
health,0,3/18/18
health,0,3/25/18
health,50,4/1/18
health,30,4/8/18
health,27,4/15/18
health,0,4/22/18
health,0,4/29/18
health,0,5/6/18
health,30,5/13/18
health,18,5/20/18
health,38,5/27/18
health,40,6/3/18
health,57,6/10/18
health,31,6/17/18
health,36,6/24/18
health,45,7/1/18
health,52,7/8/18
health,25,7/15/18
health,55,7/22/18
health,15,7/29/18
health,20,8/5/18
health,53,8/12/18
health,66,8/19/18
health,63,8/26/18
health,50,9/2/18
health,66,9/9/18
health,64,9/16/18
health,91,9/23/18
health,79,9/30/18
health,61,10/7/18
health,66,10/14/18
health,116,10/21/18
health,116,10/28/18
health,96,11/4/18
health,76,11/11/18
health,61,11/18/18
health,116,11/25/18
health,105,12/2/18
health,0,12/9/18
health,0,12/16/18
vacation,0,1/14/18
vacation,0,1/21/18
vacation,0,1/28/18
vacation,0,2/4/18
vacation,30,2/11/18
vacation,20,2/18/18
vacation,0,2/25/18
vacation,0,3/4/18
vacation,0,3/11/18
vacation,30,3/18/18
vacation,70,3/25/18
vacation,10,4/1/18
vacation,0,4/8/18
vacation,0,4/15/18
vacation,50,4/22/18
vacation,0,4/29/18
vacation,0,5/6/18
vacation,0,5/13/18
vacation,0,5/20/18
vacation,0,5/27/18
vacation,0,6/3/18
vacation,0,6/10/18
vacation,0,6/17/18
vacation,0,6/24/18
vacation,0,7/1/18
vacation,0,7/8/18
vacation,0,7/15/18
vacation,0,7/22/18
vacation,40,7/29/18
vacation,0,8/5/18
vacation,0,8/12/18
vacation,0,8/19/18
vacation,0,8/26/18
vacation,0,9/2/18
vacation,0,9/9/18
vacation,0,9/16/18
vacation,0,9/23/18
vacation,0,9/30/18
vacation,0,10/7/18
vacation,0,10/14/18
vacation,0,10/21/18
vacation,0,10/28/18
vacation,0,11/4/18
vacation,0,11/11/18
vacation,40,11/18/18
vacation,0,11/25/18
vacation,0,12/2/18
vacation,0,12/9/18
vacation,0,12/16/18
personal,0,1/14/18
personal,83,1/21/18
personal,52,1/28/18
personal,54,2/4/18
personal,50,2/11/18
personal,49,2/18/18
personal,21,2/25/18
personal,31,3/4/18
personal,60,3/11/18
personal,44,3/18/18
personal,0,3/25/18
personal,44,4/1/18
personal,11,4/8/18
personal,32,4/15/18
personal,30,4/22/18
personal,23,4/29/18
personal,57,5/6/18
personal,50,5/13/18
personal,76,5/20/18
personal,63,5/27/18
personal,100,6/3/18
personal,75,6/10/18
personal,108,6/17/18
personal,103,6/24/18
personal,54,7/1/18
personal,53,7/8/18
personal,136,7/15/18
personal,55,7/22/18
personal,65,7/29/18
personal,71,8/5/18
personal,108,8/12/18
personal,52,8/19/18
personal,17,8/26/18
personal,25,9/2/18
personal,44,9/9/18
personal,49,9/16/18
personal,37,9/23/18
personal,33,9/30/18
personal,26,10/7/18
personal,18,10/14/18
personal,22,10/21/18
personal,49,10/28/18
personal,23,11/4/18
personal,25,11/11/18
personal,24,11/18/18
personal,8,11/25/18
personal,24,12/2/18
personal,0,12/9/18
personal,0,12/16/18
gear_lift,0,1/14/18
gear_lift,15,1/21/18
gear_lift,30,1/28/18
gear_lift,18,2/4/18
gear_lift,11,2/11/18
gear_lift,59,2/18/18
gear_lift,38,2/25/18
gear_lift,52,3/4/18
gear_lift,81,3/11/18
gear_lift,59,3/18/18
gear_lift,0,3/25/18
gear_lift,103,4/1/18
gear_lift,79,4/8/18
gear_lift,72,4/15/18
gear_lift,18,4/22/18
gear_lift,54,4/29/18
gear_lift,62,5/6/18
gear_lift,80,5/13/18
gear_lift,35,5/20/18
gear_lift,63,5/27/18
gear_lift,58,6/3/18
gear_lift,105,6/10/18
gear_lift,48,6/17/18
gear_lift,8,6/24/18
gear_lift,82,7/1/18
gear_lift,88,7/8/18
gear_lift,40,7/15/18
gear_lift,97,7/22/18
gear_lift,84,7/29/18
gear_lift,12,8/5/18
gear_lift,0,8/12/18
gear_lift,100,8/19/18
gear_lift,100,8/26/18
gear_lift,53,9/2/18
gear_lift,31,9/9/18
gear_lift,32,9/16/18
gear_lift,32,9/23/18
gear_lift,66,9/30/18
gear_lift,58,10/7/18
gear_lift,77,10/14/18
gear_lift,63,10/21/18
gear_lift,62,10/28/18
gear_lift,91,11/4/18
gear_lift,123,11/11/18
gear_lift,77,11/18/18
gear_lift,119,11/25/18
gear_lift,79,12/2/18
gear_lift,0,12/9/18
gear_lift,0,12/16/18
snowmass,0,1/14/18
snowmass,5,1/21/18
snowmass,3,1/28/18
snowmass,2,2/4/18
snowmass,3,2/11/18
snowmass,0,2/18/18
snowmass,0,2/25/18
snowmass,0,3/4/18
snowmass,11,3/11/18
snowmass,5,3/18/18
snowmass,0,3/25/18
snowmass,18,4/1/18
snowmass,0,4/8/18
snowmass,0,4/15/18
snowmass,0,4/22/18
snowmass,7,4/29/18
snowmass,3,5/6/18
snowmass,20,5/13/18
snowmass,3,5/20/18
snowmass,15,5/27/18
snowmass,17,6/3/18
snowmass,3,6/10/18
snowmass,0,6/17/18
snowmass,34,6/24/18
snowmass,9,7/1/18
snowmass,0,7/8/18
snowmass,6,7/15/18
snowmass,0,7/22/18
snowmass,0,7/29/18
snowmass,3,8/5/18
snowmass,11,8/12/18
snowmass,0,8/19/18
snowmass,2,8/26/18
snowmass,17,9/2/18
snowmass,0,9/9/18
snowmass,0,9/16/18
snowmass,0,9/23/18
snowmass,17,9/30/18
snowmass,3,10/7/18
snowmass,0,10/14/18
snowmass,0,10/21/18
snowmass,4,10/28/18
snowmass,0,11/4/18
snowmass,0,11/11/18
snowmass,0,11/18/18
