category,task,value,date,day
health,breathwork and journal,5,2017/06/26,wednesday 
health,cleanse,3,2015/12/28,wednesday
health,cleanse,3,2016/01/04,wednesday
pipeline,Negative Days Left,3,2016/02/15,wednesday
pipeline,Add Notes Section,5,2016/02/15,wednesday
pipeline,Dashboard link on show page,1,2016/02/15,wednesday
health,GVT Shoulders / Arms,3,2016/02/15,wednesday
personal,Invite Ruedi to Banff,1,2016/02/15,wednesday
personal,Book Ski Lesons,1,2016/02/15,wednesday
snowmass,Pay John Ott,1,2016/02/15,wednesday
snowmass,Pay Carmen & Jessica,2,2016/02/15,wednesday
personal,Dentist Appointment,2,2016/02/15,wednesday
fcfs,Meet with Mike about future,2,2016/02/15,wednesday
career_development,TH - Beginning HTML & CSS,2,2016/02/15,wednesday
career_development,TH - HTML First,2,2016/02/15,wednesday
career_development,Setup Githursdaydaysdayb activity tracker Json,2,2016/02/15,wednesday
pipeline,Fix Current Pipeline,2,2016/02/22,wednesday
personal,Trash,1,2016/02/22,wednesday
personal,Groceries,3,2016/02/22,wednesday
personal,Menu,1,2016/02/22,wednesday
snowmass,Figure Out VRBO issue,1,2016/02/22,wednesday
personal,Drop off Business Expense to officer  / Pickup check,2,2016/02/22,wednesday
personal,Fix Bathroom Sink,3,2016/02/22,wednesday
personal,Seva,3,2016/02/22,wednesday
personal,Deposit Reimbursement check,1,2016/02/22,wednesday
fcfs,Updated Eric Point Version,1,2016/02/22,wednesday
fcfs,Updated Amy Point Version,1,2016/02/22,wednesday
career_development,Meet with Doug,2,2016/02/22,wednesday
pipeline,Clean up client file CSS,2,2016/02/29,wednesday
pipeline,Add Conditions to lender to redbox,2,2016/02/29,wednesday
pipeline,Make Side bar responsive,5,2016/02/29,wednesday
pipeline,Determine where extra lines are coming,2,2016/02/29,wednesday
pipeline,Add loan details to collapes under client name,2,2016/02/29,wednesday
pipeline,Align other dates vertically,2,2016/02/29,wednesday
pipeline,Get redbox back up in content,2,2016/02/29,wednesday
personal,Trash,1,2016/02/29,wednesday
personal,Groceries,2,2016/02/29,wednesday
personal,Menu,1,2016/02/29,wednesday
personal,Seb Dentist Appt,2,2016/02/29,wednesday
fcfs,Update Rails,1,2016/02/29,wednesday
fcfs,Data-transfer,1,2016/02/29,wednesday
pipeline,Change is_sf to date_field,2,2016/03/07,wednesday
personal,Trash,1,2016/03/07,wednesday
