category,task,value,date,day
gear lift,Fix landing page responivness,3,11/11/19,wednesday
gear lift,Setup dns,3,11/11/19,friday
gear lift,Test if mailer system is working,3,11/11/19,tuesday
gear lift,Search and/or for brand/name,5,11/11/19,Tuesday
gear lift,Debug font awesome,5,11/11/19,Sunday
gear lift,update ssl,3,11/11/19,friday
gear lift,Duy domain,5,11/11/19,friday
gear lift,clean up search bars,3,11/11/19,monday
gear lift,debug css two,5,11/11/19,thursday
gear lift,Rename respository,5,11/11/19,wednesday
gear lift,Worked on Scrape and Import,5,11/11/19,wednesday
gear lift,Debug Css two,5,11/11/19,monday
gear lift,Scrape and import EVO,5,11/11/19,wednesday
gear lift,Setup Product db backup,3,11/11/19,sunday
gear lift,Fix sitempa issues,3,11/11/19,saturday
fcfs,Bill FCFS,3,11/11/19,friday
fcfs,Fix lost client file,3,11/11/19,thursday
personal,plan week,5,11/11/19,wednesday
personal,call dr bradley,2,11/11/19,tuesday
personal,sales call,3,11/11/19,monday
personal,Defrost turkey / chicken,3,11/11/19,tuesday
personal,Reschedule masage,2,11/11/19,saturday
personal,Sign up for boulder voice and sight,3,11/11/19,saturday
personal,Dog food,1,11/11/19,monday
personal,Text diane dates,5,11/11/19,saturday
personal,Print insurance cards,3,11/11/19,saturday
personal,Buy Tarp,3,11/11/19,saturday
personal,Pay amex,2,11/11/19,wednesday
personal,Email teachers about handwriting,3,11/11/19,monday
personal,Pick up dry cleaning,3,11/11/19,thursday
personal,Put away cahris,5,11/11/19,thursday
personal,Purchase liver,3,11/11/19,friday
personal,Print return label,2,11/11/19,friday
personal,laundry,5,11/11/19,wednesday
personal,Cook Liver,3,11/11/19,wednesday
personal,Water plant,1,11/11/19,thursday
personal,Firewood,3,11/11/19,thursday
personal,Buy Jacket,3,11/11/19,wednesday
personal,Look at EJ trips,5,11/11/19,wednesday
personal,Trash,2,11/11/19,thursday
personal,Applicance repair,3,11/11/19,thursday
personal,tranfer funds,2,11/11/19,thursday
personal,Canel Creatine,2,11/11/19,friday
personal,Research Projector,2,11/11/19,tuesday
personal,Return Shirt,3,11/11/19,wednesday
personal,Menu ,3,11/11/19,thursday
personal,Pay Green by Nature,2,11/11/19,thursday
personal,Seb allowance,3,11/11/19,friday
personal,Talk Refi,3,11/11/19,thursday
health,Sunshine Run,3,11/11/19,thursday
health,Ski,8,11/11/19,wednesday
health,Sunshine Run,3,11/11/19,thursday
health,Rollout,3,11/11/19,thursday
health,Yoga HPF,5,11/11/19,thursday
health,Dr Bradley,3,11/11/19,thursday
health,Run shine,3,11/11/19,thursday
health,IF,20,11/11/19,wednesday
health,No booze,20,11/11/19,thursday
health,185 g protien / 2000 cals,16,11/11/19,thursday
personal,Adina client party,8,11/11/19,thursday
health,rollout,3,11/18/19,Monday
health,lift amrs,5,11/18/19,Monday
health,rollout,3,11/18/19,Wednesday
health,Yoga HPF,5,11/18/19,Wednesday
personal,health assessment,3,11/18/19,Thursday
personal,register for rapids,3,11/18/19,Monday
personal,Finalize with Carlos,3,11/18/19,Thursday
personal,Sunshine Groom,3,11/18/19,Monday
personal,Print assessment forms,3,11/18/19,Monday
personal,Follow up with Diane,3,11/18/19,Wednesday
personal,Follow up on Amex,3,11/18/19,Monday
personal,Reach out to Carlos,3,11/18/19,Monday
personal,Scrum last week and this ,8,11/18/19,Saturday
personal,Reach out to Damon soccer,3,11/18/19,Monday
personal,Cancel fortune mag,3,11/18/19,Monday
personal,Susie Dog training,3,11/18/19,Tuesday
personal,hike with Lindsay and Kristin,5,11/18/19,Saturday
personal,Sofa cleaning,3,11/18/19,Monday
personal,Sofa cleaning,3,11/18/19,Friday
personal,Get back to carlos,2,11/18/19,Wednesday
personal,Grocery Store,3,11/18/19,Tuesday
personal,plan week,3,11/18/19,Sunday
personal,meet with mike,3,11/18/19,Friday
gear lift,REI import,5,11/18/19,Tuesday
gear lift,Edit account details avantlink,3,11/18/19,Thursday
gear lift,lowest price % off,5,11/18/19,Tuesday
gear lift,clear stable data,3,11/18/19,Monday
gear lift,skis import,3,11/18/19,Wednesday
gear lift,figure out size problem,5,11/18/19,Wednesday
gear lift,work on reconcilation,5,11/18/19,Wednesday
gear lift,Setup admin dashboard,3,11/18/19,Friday
gear lift,Manually test reconicle,3,11/18/19,Friday
