id,category,task,value,date,day
7775,gear lift,Hide signup,3,2018/12/10,wednesday
7774,gear lift,check password and reset,3,2018/12/10,wednesday
7773,gear lift,Call with Ben,5,2018/12/10,tuesday
7772,gear lift,Setup Backpack database,5,2018/12/10,monday
7771,gear lift,Monday Maintenance,5,2018/12/10,monday
7770,gear lift,Added General User Profile,5,2018/12/10,wednesday
7769,gear lift,Rescrape data,3,2018/12/10,tuesday
7768,gear lift,Import backbapck data,5,2018/12/10,monday
7767,gear lift,Post to Instagram,3,2018/12/10,thursday
7766,gear lift,Post to Instagram,3,2018/12/10,wednesday
7765,gear lift,Respond to FAQ email,3,2018/12/10,wednesday
7764,gear lift,Respond to OR show,1,2018/12/10,monday
7763,health,Lift Chest,5,2018/12/10,wednesday
7762,health,Juice,5,2018/12/10,sunday
7761,health,Juice,5,2018/12/10,saturday
7760,health,Juice,5,2018/12/10,friday
7759,health,Juice,5,2018/12/10,thursday
7758,health,Juice,5,2018/12/10,wednesday
7757,health,Juice,5,2018/12/10,tuesday
7756,health,Juice,5,2018/12/10,monday
7755,snowmass,pay pest controll,3,2018/12/10,tuesday
7754,personal,Drop off knives to be sharpened,1,2018/12/10,saturday
7753,personal,B-day party,3,2018/12/10,saturday
7752,personal,Pick up knives,1,2018/12/10,monday
7751,personal,Help Adina with office,5,2018/12/10,saturday
7750,personal,Seb allowance,3,2018/12/10,saturday
7749,personal,Good will,3,2018/12/10,saturday
7748,personal,menu / grocery,5,2018/12/10,wednesday
7747,personal,pick up the house,3,2018/12/10,monday
7746,personal,Organize and label spice draw,5,2018/12/10,thursday
7745,career development,Add database,5,2018/12/10,thursday
7744,career development,Set up dependabot,3,2018/12/10,friday
7743,career development,Get Scrum CSV working,5,2018/12/10,friday
7742,personal,Seb clothes,3,2018/12/10,wednesday
7741,personal,water plant,1,2018/12/10,wednesday
7740,personal,Dog Poop,3,2018/12/10,thursday
7739,career development,set up adminstrate,3,2018/12/10,thursday
7738,career development,Set up SSL,3,2018/12/10,wednesday
7737,personal,Call with karan,5,2018/12/10,wednesday
7736,personal,trash,3,2018/12/10,thursday
7735,personal,Clean up grill area,3,2018/12/10,thursday
7734,career development,Connect to Postgres,3,2018/12/10,thursday
7733,career development,Set up domain,3,2018/12/10,friday
7732,personal,Update Scrum,5,2018/12/10,tuesday
7731,career development,Scrum push #2,3,2018/12/10,wednesday
7730,personal,Bring in the rug,3,2018/12/10,thursday
7729,career development,Teak front-end of portfolio,3,2018/12/10,thursday
7728,career development,Tweak Frontend,3,2018/12/10,friday
7727,personal,Organize Supply Closet,3,2018/12/10,thursday
7726,personal,Deposit Check,3,2018/12/10,thursday
7725,snowmass,Call plumber,3,2018/12/10,wednesday
7722,career development,Scum Update,5,2018/12/10,thursday
7724,career development,Deploy to production,3,2018/12/10,thursday
7723,career development,Import Data,3,2018/12/10,thursday
7660,snowmass,call plumbers again,3,2018/12/03,friday
7659,snowmass,deposit check,3,2018/12/03,friday
7475,snowmass,call plumbers,3,2018/12/03,thursday
6741,personal,call small engine repair,3,2018/12/03,friday
6740,personal,Present,3,2018/12/03,friday
6739,personal,bank,3,2018/12/03,friday
6471,personal,Water plant,2,2018/12/03,monday
6470,personal,Wash truck,3,2018/12/03,monday
5970,personal,Pay lawn care,2,2018/12/03,saturday
5969,personal,dog food,2,2018/12/03,saturday
5189,personal,Pick up box,3,2018/12/03,thursday
5090,personal,trash,3,2018/12/03,thursday
3789,one_dataset,renew SSL,5,2018/12/03,tuesday
3403,health,Juice,3,2018/12/03,friday
3402,health,IF,5,2018/12/03,friday
3235,health,Run 3 Miles,3,2018/12/03,monday
3234,health,Wake up 5 am,5,2018/12/03,monday
3233,health,Meditate,5,2018/12/03,monday
3232,health,Juice,3,2018/12/03,monday
3231,health,IF,5,2018/12/03,monday
3002,health,Juice,3,2018/12/03,saturday
3001,health,IF,5,2018/12/03,saturday
2869,health,Ski,8,2018/12/03,sunday
2868,health,Juice,3,2018/12/03,sunday
