holding,task,value,day,confidence_score,category,rank
,Wake up 5:55am,5,monday,8,health,1
,Wake up 5:55am,5,tuesday,8,health,1
,Wake up 5:55am,5,wednesday,8,health,1
,Wake up 5:55am,5,thursday,8,health,1
,Wake up 5:55am,5,friday,8,health,1
,Wake up 5:55am,5,sat/sun,8,health,1
,Meditate,5,monday,5,health,2
,Meditate,5,tuesday,5,health,2
,Meditate,5,wednesday,5,health,2
,Meditate,5,thursday,5,health,2
,Meditate,5,friday,5,health,2
,Meditate,5,sat/sun,5,health,2
,Lemon Water / BCAA / Creatine,3,monday,5,health,3
,Lemon Water / BCAA / Creatine,3,tuesday,5,health,3
,Lemon Water / BCAA / Creatine,3,wednesday,5,health,3
,Lemon Water / BCAA / Creatine,3,thursday,5,health,3
,Lemon Water / BCAA / Creatine,3,friday,5,health,3
,Lemon Water / BCAA / Creatine,3,sat/sun,5,health,3
,Respond to Emails,5,monday,10,admin,4
,Respond to Emails,5,wednesday,10,admin,4
,Respond to Emails,5,friday,10,admin,4
,Respond to Emails,5,tuesday,8,admin,4
,Respond to Emails,5,thursday,8,admin,4
,Respond to Emails,5,sat/sun,8,admin,4
,Feed Sunshine AM,3,monday,5,personal,5
,Feed Sunshine AM,3,tuesday,5,personal,5
,Feed Sunshine AM,3,wednesday,5,personal,5
,Feed Sunshine AM,3,thursday,5,personal,5
,Feed Sunshine AM,3,friday,5,personal,5
,Feed Sunshine AM,3,sat/sun,5,personal,5
,Programming 3 hours,3,monday,5,sales,6
,Programming 3 hours,3,tuesday,5,sales,6
,Programming 3 hours,3,wednesday,5,sales,6
,Programming 3 hours,3,thursday,5,sales,6
,Programming 3 hours,3,friday,5,sales,6
,Intermittent Fasting,8,monday,10,health,7
,Intermittent Fasting,8,tuesday,10,health,7
,Intermittent Fasting,8,wednesday,10,health,7
,Intermittent Fasting,8,thursday,10,health,7
,Intermittent Fasting,8,friday,10,health,7
,Intermittent Fasting,8,sat/sun,10,health,7
,Kettle Bell Swings ,3,monday,10,health,8
,Kettle Bell Swings ,3,tuesday,10,health,8
,Kettle Bell Swings ,3,wednesday,10,health,8
,Kettle Bell Swings ,3,thursday,10,health,8
,Kettle Bell Swings ,3,friday,10,health,8
,Kettle Bell Swings ,3,sat/sun,10,health,8
,Programming 3 hours,3,monday,5,sales,8
,Programming 3 hours,3,tuesday,5,sales,8
,Programming 3 hours,3,wednesday,5,sales,8
,Programming 3 hours,3,thursday,5,sales,8
,Programming 3 hours,3,friday,5,sales,8
,Feed Sunshine PM,3,monday,5,personal,9
,Feed Sunshine PM,3,tuesday,5,personal,9
,Feed Sunshine PM,3,wednesday,5,personal,9
,Feed Sunshine PM,3,thursday,5,personal,9
,Feed Sunshine PM,3,friday,5,personal,9
,Feed Sunshine PM,3,sat/sun,5,personal,9
,Create / Plan / Sell,3,monday,5,sales,10
,Create / Plan / Sell,3,tuesday,5,sales,10
,Create / Plan / Sell,3,wednesday,5,sales,10
,Create / Plan / Sell,3,thursday,5,sales,10
,Create / Plan / Sell,3,friday,5,sales,10
,Create / Plan / Sell,3,sat/sun,5,sales,10
,Rollout,5,monday,5,health,11
,Rollout,5,tuesday,5,health,11
,Rollout,5,wednesday,5,health,11
,Rollout,5,thursday,5,health,11
,Rollout,5,friday,5,health,11
,Rollout,5,sat/sun,5,health,11
,Laundry,5,sat/sun,3,personal,
,Menu,3,tuesday,3,personal,
,Shave Head,3,sat/sun,5,personal,
,Water Plant,1,wednesday,,personal,
